,0
1374,Btbd8
1375,Btbd9
1376,Btc
1377,Btd
1378,Btf3
1379,Btf3l4
1380,Btg1
1381,Btg2
1382,Btg3
1383,Btk
1384,Btla
1385,Btn1a1
1386,Btn2a2
1387,Btnl2
1388,Btnl9
1389,Btrc
1390,Bub1
1391,Bub1b
1392,Bub3
1393,Bud13
1394,Bud31
1395,Bves
1396,Bysl
1397,Bzw1
1398,Bzw2
1399,C1d
1400,C1galt1
1401,C1galt1c1
1402,C1qa
1403,C1qb
1404,C1qbp
1405,C1qc
1406,C1ql1
1407,C1ql3
1408,C1ql4
1409,C1qtnf1
1410,C1qtnf3
1411,C1qtnf4
1412,C1qtnf6
1413,C1qtnf7
1414,C1qtnf9
1415,C1ra
1416,C1rl
1417,C2
1418,C2cd2
1419,C2cd2l
1420,C2cd3
1421,C2cd4a
1422,C2cd4b
1423,C2cd4c
1424,C2cd4d
1425,C2cd5
1426,C3
1427,C3ar1
1428,C4b
1429,C4bp
1430,C5ar1
1431,C5ar2
1432,C7
1433,C77080
1434,C87436
1435,C8g
1436,Caap1
1437,Cab39
1438,Cab39l
1439,Cabin1
1440,Cables1
1441,Cables2
1442,Cabp1
1443,Cabp4
1444,Cabp7
1445,Cabyr
1446,Cacfd1
1447,Cachd1
1448,Cacna1a
1449,Cacna1b
1450,Cacna1c
1451,Cacna1d
1452,Cacna1e
1453,Cacna1f
1454,Cacna1g
1455,Cacna1h
1456,Cacna1i
1457,Cacna1s
1458,Cacna2d1
1459,Cacna2d2
1460,Cacna2d4
1461,Cacnb1
1462,Cacnb2
1463,Cacnb3
1464,Cacnb4
1465,Cacng4
1466,Cactin
1467,Cacul1
1468,Cacybp
1469,Cad
1470,Cadm1
1471,Cadm2
1472,Cadm3
1473,Cadm4
1474,Cadps
1475,Cadps2
1476,Cage1
1477,Calb1
1478,Calb2
1479,Calcb
1480,Calcoco1
1481,Calcoco2
1482,Calcrl
1483,Cald1
1484,Calhm2
1485,Calm1
1486,Calm2
1487,Calm3
1488,Calm4
1489,Calml3
1490,Calml4
1491,Caln1
1492,Calr
1493,Calr3
1494,Calu
1495,Caly
1496,Camk1
1497,Camk1d
1498,Camk1g
1499,Camk2a
1500,Camk2b
1501,Camk2d
1502,Camk2g
1503,Camk2n1
1504,Camk2n2
1505,Camk4
1506,Camkk1
1507,Camkk2
1508,Camkmt
1509,Camkv
1510,Caml
1511,Camp
1512,Camsap1
1513,Camsap2
1514,Camsap3
1515,Camta1
1516,Camta2
1517,Cand1
1518,Cand2
1519,Cant1
1520,Canx
1521,Cap1
1522,Cap2
1523,Capg
1524,Capn1
1525,Capn10
1526,Capn11
1527,Capn12
1528,Capn13
1529,Capn15
1530,Capn2
1531,Capn3
1532,Capn5
1533,Capn6
1534,Capn7
1535,Capn8
1536,Capn9
1537,Capns1
1538,Capns2
1539,Caprin1
1540,Caprin2
1541,Caps2
1542,Capsl
1543,Capza1
1544,Capza2
1545,Capzb
1546,Car1
1547,Car11
1548,Car12
1549,Car13
1550,Car14
1551,Car2
1552,Car3
1553,Car4
1554,Car5a
1555,Car5b
1556,Car6
1557,Car7
1558,Car8
1559,Car9
1560,Card10
1561,Card11
1562,Card14
1563,Card6
1564,Card9
1565,Carf
1566,Carhsp1
1567,Carm1
1568,Carns1
1569,Cars
1570,Cars2
1571,Cartpt
1572,Casc1
1573,Casc3
1574,Casc4
1575,Casd1
1576,Cask
1577,Caskin1
1578,Caskin2
1579,Casp1
1580,Casp14
1581,Casp2
1582,Casp3
1583,Casp4
1584,Casp6
1585,Casp7
1586,Casp8
1587,Casp8ap2
1588,Casp9
1589,Casq2
1590,Cass4
1591,Cast
1592,Casz1
1593,Cat
1594,Catsper2
1595,Catsper3
1596,Catsper4
1597,Catsperb
1598,Catsperd
1599,Catsperg2
1600,Cav1
1601,Cav2
1602,Cav3
1603,Cbfa2t2
1604,Cbfa2t3
1605,Cbfb
1606,Cbl
1607,Cblb
1608,Cblc
1609,Cbll1
1610,Cbln3
1611,Cbln4
1612,Cbr1
1613,Cbr3
1614,Cbr4
1615,Cbs
1616,Cbwd1
1617,Cbx1
1618,Cbx2
1619,Cbx3
1620,Cbx4
1621,Cbx5
1622,Cbx6
1623,Cbx7
1624,Cbx8
1625,Cby1
1626,Cc2d1a
1627,Cc2d1b
1628,Cc2d2a
1629,Ccar1
1630,Ccar2
1631,Ccbe1
1632,Ccdc102a
1633,Ccdc103
1634,Ccdc106
1635,Ccdc107
1636,Ccdc110
1637,Ccdc112
1638,Ccdc113
1639,Ccdc114
1640,Ccdc115
1641,Ccdc116
1642,Ccdc117
1643,Ccdc12
1644,Ccdc120
1645,Ccdc121
1646,Ccdc122
1647,Ccdc124
1648,Ccdc125
1649,Ccdc126
1650,Ccdc127
1651,Ccdc129
1652,Ccdc13
1653,Ccdc130
1654,Ccdc134
1655,Ccdc136
1656,Ccdc137
1657,Ccdc138
1658,Ccdc14
1659,Ccdc141
1660,Ccdc142
1661,Ccdc144b
1662,Ccdc146
1663,Ccdc148
1664,Ccdc149
1665,Ccdc15
1666,Ccdc150
1667,Ccdc151
1668,Ccdc152
1669,Ccdc153
1670,Ccdc154
1671,Ccdc155
1672,Ccdc157
1673,Ccdc158
1674,Ccdc159
1675,Ccdc160
1676,Ccdc167
1677,Ccdc169
1678,Ccdc17
1679,Ccdc171
1680,Ccdc173
1681,Ccdc174
1682,Ccdc18
1683,Ccdc181
1684,Ccdc22
1685,Ccdc24
1686,Ccdc25
1687,Ccdc28a
1688,Ccdc28b
