,pvalue,FoldChange,log(pvalue),log2FC,sig,size
SNAP91,0.9924015057838947,0.9991271146731988,0.003312585438582734,0.0012598572677306405,normal,0.09991271146731988
TRIAP1,0.2709299992266375,1.0222670409284618,0.5671429042423538,-0.031772112419740726,normal,0.10222670409284618
ARMC10,0.9626249275170512,1.0035416474375907,0.0165428963019892,-0.005100490447308673,normal,0.10035416474375906
BSN,0.3919348929252473,1.019897837970819,0.4067860707134749,-0.028424646280595788,normal,0.1019897837970819
IFT172,0.5002221840674259,1.0299849700924468,0.30083705190093724,-0.04262328524218454,normal,0.10299849700924468
PSMC6,0.4379962804977502,1.0321813133835573,0.3585295775464972,-0.04569641741169308,normal,0.10321813133835574
INPP5J,0.747447003756238,1.1095658713300403,0.126419594698729,-0.149995318206625,normal,0.11095658713300402
CSE1L,0.46746647261400187,1.0186140142464144,0.33024953191633766,-0.026607471302256748,normal,0.10186140142464144
CORO1A,0.46144752036004444,1.0173578719149199,0.33587768340084656,-0.024827259547308664,normal,0.10173578719149198
PSMD3,0.6315097070071449,1.030105261061872,0.1996199694677341,-0.042791766391821695,normal,0.10301052610618719
MAG,0.8673848113930569,1.0252634713061621,0.06178818696698523,-0.03599469987962532,normal,0.10252634713061622
MTPN,0.7960289961213706,1.0112965998096448,0.09907111238023093,-0.016206182522069457,normal,0.10112965998096449
DLAT,0.8546272213181678,1.0090552045683632,0.06822327828691027,-0.013005105245421264,normal,0.10090552045683632
BLVRB,0.6263943507418979,1.0484154236862133,0.20315216770088568,-0.06821048303682237,normal,0.10484154236862134
RPL18A,0.6856485251429819,1.0553881738941893,0.16389845383854149,-0.07777372267834984,normal,0.10553881738941892
NDUFA7,0.2630870846325778,1.0271273556640028,0.5799004716044535,-0.03861507551545399,normal,0.10271273556640029
IDH3A,0.6651272250737786,1.0153090572841599,0.1770952752040037,-0.02191894666434025,normal,0.10153090572841598
CNNM3,0.8610718691376986,0.9597747195773435,0.06496059875851797,0.0592322818548523,normal,0.09597747195773434
PUF60,0.9270682038188105,0.988920047021585,0.03288831391100974,0.016074209320772994,normal,0.0988920047021585
KCTD16,0.3089443373424968,1.027468544392662,0.5101197605835488,-0.03909422695477599,normal,0.1027468544392662
SOD2,0.7894123265881783,1.0123737409569256,0.10269609642615059,-0.017741992290062906,normal,0.10123737409569256
CENPV,0.6286310474487482,1.0412060983888691,0.20160417342551956,-0.058255666806269986,normal,0.10412060983888691
SLC9A3R1,0.15083358188890364,1.0236715082666767,0.8215019555128689,-0.033752835040179,normal,0.10236715082666767
AIMP2,0.5576521636826002,1.0163732981033018,0.2536366084037496,-0.023430378890393472,normal,0.10163732981033018
ME3,0.9726748273973838,0.9959581973360656,0.012032323421190263,0.005842904563463698,normal,0.09959581973360657
PSMB1,0.9307443153764822,1.0060739061748012,0.031169607602897775,-0.008736289393419621,normal,0.10060739061748011
