# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "64" "-p" "-t" "exon" "-g" "gene_id" "-a" "/public5/xiongyy/refer/Mus_musculus.GRCm39.108.gtf" "-o" "/public5/xiongyy/mouse_EV/00.CleanData/all.id.txt" "/public5/xiongyy/mouse_EV/00.CleanData/1--1/1--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/1--2/1--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/2--1/2--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/2--2/2--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/3--1/3--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/3--2/3--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4--1/4--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4--2/4--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4-3/4-3.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4-4/4-4.bam" "/public5/xiongyy/mouse_EV/00.CleanData/Blank-1/Blank-1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/Blank-2/Blank-2.bam" 
Geneid	/public5/xiongyy/mouse_EV/00.CleanData/1--1/1--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/1--2/1--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/2--1/2--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/2--2/2--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/3--1/3--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/3--2/3--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/4--1/4--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/4--2/4--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/4-3/4-3.bam	/public5/xiongyy/mouse_EV/00.CleanData/4-4/4-4.bam	/public5/xiongyy/mouse_EV/00.CleanData/Blank-1/Blank-1.bam	/public5/xiongyy/mouse_EV/00.CleanData/Blank-2/Blank-2.bam
ENSMUSG00000025911	123	293	235	297	107	138	187	155	203	229	127	274
ENSMUSG00000081441	11	12	8	10	21	33	17	20	10	12	3	10
ENSMUSG00000067879	0	0	0	0	0	3	0	0	0	3	0	0
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	806	1033	580	1372	1099	1001	710	439	1145	1057	318	926
ENSMUSG00000103634	12	8	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000104154	0	0	0	0	3	0	0	0	9	9	0	9
ENSMUSG00000103435	0	4	0	2	0	0	0	1	0	4	0	0
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100551	5	5	2	2	20	11	5	6	7	18	7	9
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	88	78	72	112	125	61	53	122	122	64	103	54
ENSMUSG00000045210	1109	1478	736	1129	1197	1137	961	855	1088	1021	655	1361
ENSMUSG00000041763	1639	1809	1244	1782	1800	1679	1404	1665	1598	1366	1379	1634
ENSMUSG00000026504	189	185	214	234	318	277	226	203	302	218	112	254
ENSMUSG00000103367	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103584	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102475	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047343	13	23	162	81	3	17	13	8	48	20	1145	453
ENSMUSG00000102211	14	7	1	2	23	2	0	5	26	22	17	30
ENSMUSG00000087082	3	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000090106	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103251	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000091844	3	0	0	0	7	1	2	12	8	16	0	0
ENSMUSG00000026483	1325	1374	823	1809	1076	1393	1491	649	1260	1214	674	1088
ENSMUSG00000082528	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000099996	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019699	455	535	226	761	532	499	418	210	580	486	166	484
ENSMUSG00000104391	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000102133	0	0	0	8	0	0	0	0	0	0	0	5
ENSMUSG00000102749	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000103163	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103646	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102427	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103633	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097892	0	0	0	2	1	1	0	0	0	0	0	0
ENSMUSG00000063659	834	915	627	691	835	809	671	960	983	836	1482	1755
ENSMUSG00000102432	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000103043	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102885	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026049	206	232	242	110	199	148	96	234	137	125	84	107
ENSMUSG00000103767	4	1	3	3	4	0	7	1	3	0	0	6
ENSMUSG00000043019	1736	1998	1119	1895	1946	2063	1863	1496	1847	1861	1474	2194
ENSMUSG00000101104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	3	2	9	6	2	2	2	5	0	2	0	0
ENSMUSG00000032666	839	781	1044	1039	758	823	641	674	893	638	1308	881
ENSMUSG00000084557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100685	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015961	1223	1386	1180	1140	1518	1397	1014	1504	1456	1307	851	1293
ENSMUSG00000089657	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000102483	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014980	151	170	164	98	209	167	94	212	130	146	102	240
ENSMUSG00000026235	1531	957	575	932	1118	1458	1785	1192	953	865	322	1616
ENSMUSG00000099141	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032649	45	37	27	26	60	45	32	15	40	37	17	22
ENSMUSG00000101849	11	5	3	2	6	7	14	15	2	8	0	12
ENSMUSG00000101506	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102052	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000026047	344	296	251	329	406	432	209	264	240	323	116	330
ENSMUSG00000080878	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091476	6	14	5	30	30	7	12	4	23	5	15	24
ENSMUSG00000104097	10	26	0	11	14	5	15	21	18	6	8	33
ENSMUSG00000119789	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102493	32	28	66	39	69	97	57	98	32	32	26	43
ENSMUSG00000004872	194	155	46	45	228	170	88	147	82	51	40	75
ENSMUSG00000118426	0	5	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041684	344	444	292	370	431	465	306	341	471	370	269	400
ENSMUSG00000032908	163	47	512	413	36	119	198	28	39	25	30	30
ENSMUSG00000099561	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102945	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026502	1321	1371	956	1394	1203	1346	1211	985	1156	1148	1134	1232
ENSMUSG00000103958	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070489	0	0	0	6	2	0	0	0	0	0	0	0
ENSMUSG00000104126	372	416	332	262	292	280	287	329	211	271	136	176
ENSMUSG00000026500	10	16	14	0	1	12	14	7	4	16	0	18
ENSMUSG00000026048	528	550	500	543	677	678	563	786	623	692	417	695
ENSMUSG00000046828	0	0	0	5	0	0	0	0	6	0	3	0
ENSMUSG00000089703	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000100966	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100769	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101567	238	263	301	129	207	223	119	247	190	173	126	203
ENSMUSG00000026245	1295	1305	883	620	1218	1414	1118	1650	754	751	819	835
ENSMUSG00000101798	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104018	0	0	5	0	3	2	1	0	1	0	0	10
ENSMUSG00000090486	0	0	0	0	12	0	3	1	10	0	14	0
ENSMUSG00000026482	1349	1269	809	1436	1152	1739	2219	615	1388	1371	240	860
ENSMUSG00000086145	0	0	0	0	0	0	0	0	6	0	0	0
ENSMUSG00000080950	14	11	9	7	43	45	12	28	13	16	9	12
ENSMUSG00000099868	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055547	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000012187	10	22	39	6	1	12	11	4	18	17	0	26
ENSMUSG00000008475	4720	5794	6534	4318	5527	5257	4053	4121	5714	5717	2869	5899
ENSMUSG00000099364	21	11	14	5	15	20	10	16	29	21	82	19
ENSMUSG00000100562	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000056870	519	980	780	837	687	713	391	226	747	722	148	565
ENSMUSG00000102319	0	0	0	1	6	0	0	0	3	0	0	0
ENSMUSG00000089877	1	5	5	1	6	0	0	0	5	6	0	11
ENSMUSG00000101701	0	9	0	5	0	0	0	0	2	0	0	0
ENSMUSG00000103071	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000100434	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100013	3	0	0	0	2	0	1	0	0	0	0	1
ENSMUSG00000101251	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101937	2	1	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000039630	10062	9760	6563	7295	12804	11782	9295	14272	8686	8885	5147	8794
ENSMUSG00000104279	13	27	36	35	42	15	8	20	34	15	16	56
ENSMUSG00002075531	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026495	36	34	51	72	19	34	36	20	30	28	187	43
ENSMUSG00000032883	1196	1079	643	711	1381	1604	1613	1692	1166	1159	675	1681
ENSMUSG00000026480	115	196	130	151	164	135	111	51	217	182	30	52
ENSMUSG00000026494	905	957	406	1401	1580	1247	616	477	1157	881	144	496
ENSMUSG00000064967	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102922	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025915	2050	1895	1457	1197	1530	1990	2116	1168	1265	1057	642	1908
ENSMUSG00000089713	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079470	457	276	135	161	330	567	701	462	309	324	140	392
ENSMUSG00000099377	30	56	14	53	61	63	33	75	31	21	13	40
ENSMUSG00000099706	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047330	175	220	221	264	167	375	96	74	137	131	40	91
ENSMUSG00000101324	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000072978	22	0	5	5	2	32	23	11	8	5	0	7
ENSMUSG00000046334	46	31	57	25	58	23	20	49	29	33	23	18
ENSMUSG00002075801	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000050711	0	10	0	21	26	24	1	0	9	2	0	0
