Protein IDs,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Q9D6J5,0.5313813680136571,1.050950321519252,0.2745936774581388,-0.0716944746362178,normal,0.1050950321519252
A2AGN7,0.1960975991991208,1.086055125872471,0.7075277233182258,-0.11909733316476195,normal,0.10860551258724711
P11983,0.3406015206785845,1.0578039133731434,0.467753417380923,-0.08107221778966088,normal,0.10578039133731434
Q8CFV9,0.3500614300519209,1.0950260970751915,0.4558557373880247,-0.13096525308883317,normal,0.10950260970751916
Q91V12,0.5500800739497997,1.0500588565651452,0.25957408660882875,-0.07047019426751451,normal,0.10500588565651452
Q99K46,0.6906301106193992,1.0436721714541843,0.16075449087104213,-0.06166861718568104,normal,0.10436721714541844
P68254,0.4888415919546939,1.053427239631722,0.3108318502533041,-0.0750906704460722,normal,0.1053427239631722
Q9Z130,0.8153935247849468,1.0327784401566136,0.08863274169589624,-0.04653078898412245,normal,0.10327784401566135
Q9DCX2,0.15177672055261127,1.0654030006956856,0.8187948352313629,-0.09139924935193708,normal,0.10654030006956856
Q6ZWZ7,0.6675336262542985,1.0445983910548255,0.17552685231715445,-0.06294838671002609,normal,0.10445983910548255
Q6PB66,0.5673209297784444,1.1308617425760725,0.24617119401397927,-0.1774225584237475,normal,0.11308617425760725
P12023,0.03888827241583839,1.0706458214446328,1.410181349651036,-0.09848130347478182,normal,0.10706458214446328
P09528,0.6785028952200174,1.1992133707936783,0.16844829483490767,-0.26208837401398216,normal,0.11992133707936783
Q6P5F9,0.024984775061013004,1.0729425827643386,1.6023245561753896,-0.10157287406504666,down,0.10729425827643387
P02798,0.9241053839432564,0.9625011630197537,0.03427849949927469,0.055139810938624655,normal,0.09625011630197537
Q7TMF3,0.01382771556674113,1.0694593364969103,1.8592495623857241,-0.09688162869320142,normal,0.10694593364969103
P63260,0.047871990986381896,1.06552683080853,1.3199185099231456,-0.09156692178044519,normal,0.106552683080853
Q8BPW9,0.16451111900003065,1.079888980136762,0.7838047435671068,-0.11088300124150642,normal,0.1079888980136762
Q6PGN3,0.0012834984236169877,1.0680101583558022,2.8916046603893935,-0.09492536925378321,normal,0.10680101583558022
Q03265,0.007299470004212052,1.0675631090737598,2.1367086717428476,-0.09432135739290001,normal,0.10675631090737599
Q9D8W7,0.5105763055064678,1.1112893516259874,0.2919393435203381,-0.15223450692048832,normal,0.11112893516259874
A0A0R4IZX5,0.17280110657086023,1.0623525085439711,0.7624534807455533,-0.08726255893269853,normal,0.10623525085439711
P63038,0.6660397636173354,1.0421373788683985,0.17649984199474056,-0.059545472192324,normal,0.10421373788683985
Q8R105,0.7002305843272304,1.0408455449017167,0.15475892425583462,-0.05775599742029097,normal,0.10408455449017166
Q61166,0.21466695447573325,1.0798895349427777,0.6682348050905693,-0.11088374244333063,normal,0.10798895349427777
Q8BRV5,0.3967796651273171,1.0949685547845847,0.40145059344652384,-0.13088943922577329,normal,0.10949685547845847
A2BE93,0.8349221117787455,1.0337296032289789,0.07835403709417865,-0.04785886350952765,normal,0.10337296032289789
O88543,0.38022106302402114,1.0931740857378638,0.4199638282866532,-0.12852316554035056,normal,0.10931740857378638
D3YYG8,0.2688275020950113,1.059640064713955,0.5705263033372444,-0.08357429777392919,normal,0.1059640064713955
Q60625,0.1899698620821848,1.0587355313296636,0.7213152925712991,-0.0823422538346186,normal,0.10587355313296636
E9Q2A6,0.07029772387281602,1.0622025466901732,1.1530587365090397,-0.087058893489788,normal,0.10622025466901733
Q8C605,0.44568491331607984,1.0969816524929377,0.3509720667764465,-0.13353939622532612,normal,0.10969816524929377
P62908,0.29520878645236626,1.085633809164204,0.5298707205245036,-0.11853755545122287,normal,0.1085633809164204
Q8BK30,0.8488420794886313,1.0285896217794626,0.0711730993744613,-0.04066750243237069,normal,0.10285896217794625
F8WIT2,0.09983223610015099,1.0675530351877531,1.0007292011990245,-0.09430774357107252,normal,0.10675530351877531
E9QNQ4,0.49492431407127646,1.074655258228597,0.3054612101459926,-0.10387392771259946,normal,0.1074655258228597
Q8K400,0.2166123186006865,1.0786852586778601,0.6643168489656506,-0.10927397327466362,normal,0.10786852586778602
Q9EPL8,0.6411131246987771,1.1435177976079391,0.19306533226318617,-0.19347881989991253,normal,0.11435177976079391
A0A0R4J0Q5,0.03363762324809327,1.062278497861836,1.4731746979723361,-0.08716204750854031,normal,0.1062278497861836
P35802,0.13415590458941898,1.0730625793281485,0.872390208015002,-0.10173421426195828,normal,0.10730625793281486
P03995,0.5901657198339382,1.0553435333218246,0.22902602038558756,-0.07771269859635747,normal,0.10553435333218246
Q922D8,0.4566312577295437,1.0977675267597646,0.3404343631155579,-0.1345725684590253,normal,0.10977675267597646
Q9QZ05,0.6340548438400525,1.14677685549956,0.19787317532495116,-0.1975846931991376,normal,0.11467768554995601
O88998,0.21602665650639807,1.0708640541251548,0.6654926559817039,-0.09877534200398086,normal,0.10708640541251549
D3YVM5,0.10567987741030418,1.0597369865009207,0.9760076991791018,-0.08370625030349621,normal,0.10597369865009207
Q91VW3,0.49976030928105675,1.0471810783206497,0.301238238294997,-0.06651093434805419,normal,0.10471810783206496
P63330,0.05707218970272785,1.0698417567048195,1.2435754644482677,-0.09739741933633839,normal,0.10698417567048195
P06745,0.056008541231850124,1.0666815469824198,1.251745738582967,-0.0931295302739857,normal,0.10666815469824198
B1AU25,0.46000822377703154,1.0967294478868774,0.33723440416829553,-0.13320767129035857,normal,0.10967294478868775
P56564,0.17387735823092676,1.0746901867751126,0.7597569667929478,-0.10392081756082279,normal,0.10746901867751127
Q9WTL7,0.04597158655001899,1.0681979191094777,1.3375105078218323,-0.09517897892014142,normal,0.10681979191094777
Q02053,0.15968004406171404,1.0569136972034334,0.7967493562185488,-0.07985757757216778,normal,0.10569136972034335
F6YNQ1,0.2612177011438159,1.0800429178831163,0.5829973968892733,-0.11108864219143706,normal,0.10800429178831164
Q61081,0.036916143995104934,1.0626182390776477,1.4327836686728268,-0.08762338095867275,normal,0.10626182390776477
O88485,0.1957019585009415,1.0758625721555681,0.708404828088061,-0.10549380360817981,normal,0.10758625721555681
F8WGT1,0.6940097941582539,1.037859376723526,0.15863440055541816,-0.05361098102988514,normal,0.1037859376723526
E9Q6I5,0.4651553772997403,1.0627189518803253,0.3324019541370553,-0.0877601101908189,normal,0.10627189518803253
A0A1B0GRM4,0.3019914521480236,1.0802169331120206,0.5200053495510712,-0.11132106877493968,normal,0.10802169331120207
P05064,0.3440933994790196,1.0511414697459025,0.463323658089134,-0.07195685004776688,normal,0.10511414697459025
Q64332,0.06739067057369952,1.0587289362490215,1.1714002221413045,-0.08233326696349773,normal,0.10587289362490215
M0QW69,0.42904009325778003,1.0924115939108576,0.3675021216450842,-0.12751653081318068,normal,0.10924115939108577
Q99KU0,0.42645442999379957,1.088548150639237,0.37012736979445776,-0.12240522484539543,normal,0.1088548150639237
Q5SQB0,0.2425899686420917,1.060303256662363,0.6151271616452852,-0.08447694810112424,normal,0.1060303256662363
P50247,0.044399012526319066,1.0609566210889212,1.3526266888750125,-0.08536567056062419,normal,0.10609566210889212
Q9QXV0,0.06561616782289417,1.0679100664742818,1.1829891372838572,-0.09479015628137935,normal,0.10679100664742817
Q8K1K2,0.6073171935759609,1.041974857786871,0.21658442352182325,-0.05932046669145792,normal,0.10419748577868711
O08553,0.1967055238656407,1.0571863955918113,0.7061834440934636,-0.08022976488353857,normal,0.10571863955918112
Q9D0F3,0.07826960219288552,1.0628316709286427,1.1064068734865398,-0.0879131239185831,normal,0.10628316709286427
Q9WV18,0.2278024493421239,1.0762829358414652,0.6424416106781212,-0.10605738688865252,normal,0.10762829358414652
P63085,0.7469103701043475,1.0341948916299675,0.12673151077438055,-0.04850808380909483,normal,0.10341948916299674
P50516,0.11473523457018521,1.0587375406091066,0.9403031921287687,-0.08234499179386508,normal,0.10587375406091067
Q9CQI6,0.6939353146422197,1.0371051310552963,0.1586810105296231,-0.05256214715440099,normal,0.10371051310552963
A0A1D5RM97,0.5957179378929534,1.044629397554436,0.22495932249535264,-0.0629912091571241,normal,0.1044629397554436
P97492,0.05716161330707506,1.0671215756214811,1.242895522350053,-0.09372454969044158,normal,0.10671215756214811
Q9D0W5,0.07413080047710549,1.0575583764348142,1.1300013102665916,-0.08073730123510171,normal,0.10575583764348143
F7CYX4,0.33833903611601435,1.0657305941077149,0.47064789227483317,-0.09184278550174718,normal,0.10657305941077148
A0A0R3P9C8,0.2714777481435764,1.07641404111898,0.5662657618559754,-0.10623311522939272,normal,0.107641404111898
P62983,0.5255661570765875,1.1031327523237229,0.27937260818971194,-0.14160641703509622,normal,0.11031327523237229
Q8C163,0.4904961820377425,1.0967989109784613,0.30936436876597734,-0.13329904376555937,normal,0.10967989109784612
Q3UZP4,0.49680220922116436,1.0970496687890308,0.3038164815705509,-0.13362884506058453,normal,0.10970496687890308
P00920,0.44745988083052723,1.0676022252232769,0.3492458973648125,-0.09437421763189575,normal,0.10676022252232768
Q01768,0.4181326293782178,1.0845207131689407,0.3786859405433925,-0.11705760718330419,normal,0.10845207131689408
G3UY65,0.006486354420635886,1.0624336264762062,2.187999324747056,-0.08737271443182455,normal,0.10624336264762062
Q60605,0.08216119944116576,1.0670844421095764,1.0853332292589117,-0.09367434616460009,normal,0.10670844421095764
P62880,0.1618064276604327,1.0703020068355136,0.7910042303009314,-0.09801793895064584,normal,0.10703020068355136
P63318,0.015632940723962697,1.059668799041464,1.8059593188419534,-0.08361341889734063,normal,0.1059668799041464
Q8BVQ5,0.2514264377979494,1.0638840018487996,0.5995890576521303,-0.08934085847024273,normal,0.10638840018487997
A0A1B0GSG5,0.17041900034170324,1.0701940055244965,0.7684819865438637,-0.0978723531097507,normal,0.10701940055244966
Q9R0H0,0.5476054313969687,1.1069295491407143,0.26153225298867844,-0.1465634042877807,normal,0.11069295491407143
Q9Z0S1,0.31185352031558544,1.0785522683420898,0.5060493491116338,-0.10909609346704681,normal,0.10785522683420898
A0A140LHL5,0.5947094786547868,1.106767466292751,0.22569513953222683,-0.14635214130124052,normal,0.1106767466292751
A2AJ20,0.9055921992539662,1.0185647942683165,0.043067327140287534,-0.02653775781610466,normal,0.10185647942683165
P63168,0.3951309921244043,1.0637985397779643,0.4032589050673746,-0.0892249617578035,normal,0.10637985397779644
P62900,0.08335817605115342,1.0643495799493456,1.0790517966787343,-0.08997207417256406,normal,0.10643495799493456
Q9CQA3,0.1807065971132637,1.0530081916239993,0.7430259922227543,-0.07451665950641499,normal,0.10530081916239993
A0A0J9YUR5,0.01092330676867794,1.0602166795456178,1.9616458695073153,-0.08435914267527632,normal,0.10602166795456178
Q9DCC5,0.08089270597217273,1.0550814987530797,1.0920906365935237,-0.07735444282411544,normal,0.10550814987530796
Q9D7S9,0.02853601342501458,1.0579452419886395,1.544606699352055,-0.08126495717230316,normal,0.10579452419886395
P24369,0.23218796313766027,1.072184977207562,0.6341602982856096,-0.10055382620462956,normal,0.1072184977207562
S4R2K9,0.6075320096997345,1.0427335729828477,0.2164308349811229,-0.06037058447565718,normal,0.10427335729828477
Q9R0Q6,0.2491197309293749,1.0505464329624346,0.6035918738509021,-0.07113992890691899,normal,0.10505464329624345
Q9CQV8,0.4312476509751363,1.0491124132329779,0.365273257533312,-0.06916927212365079,normal,0.1049112413232978
P17183,0.7806563454364344,1.030544298030471,0.10754010584877666,-0.04340652057372921,normal,0.1030544298030471
P17751,0.1789531254153909,1.0519995660051151,0.7472607122569063,-0.07313410945683382,normal,0.10519995660051151
D3YUT3,0.4174411857648853,1.0854036925198927,0.3794047046044928,-0.11823172181863051,normal,0.10854036925198926
A0A087WR97,0.07142046315325498,1.058551561410098,1.146177337785764,-0.08209154386504662,normal,0.10585515614100979
Q8BIZ1,0.02658712634523226,1.0571129890754223,1.5753286006094431,-0.08012958681228351,normal,0.10571129890754223
Q9QXT0,0.3071489420278949,1.0763119632437186,0.5126509762657546,-0.10609629591821607,normal,0.10763119632437186
Q91WD5,0.18600095080278986,1.0675436098514628,0.7304848357425697,-0.0942950060812203,normal,0.10675436098514628
A0A0R4J0K1,0.34915912141077565,1.0467460014939285,0.4569766079932262,-0.06591140708141714,normal,0.10467460014939285
Q3ULQ2,0.6828547174958469,1.0370783871117144,0.1656716859252104,-0.05252494373971404,normal,0.10370783871117144
Q8CFX3,0.5729397982160228,1.1062365657145237,0.2418910092300722,-0.1456599350196167,normal,0.11062365657145237
P63325,0.5105760685337147,1.094915696875075,0.2919395450886087,-0.13081979367818028,normal,0.1094915696875075
D3Z2V6,0.5716005040858317,1.0824654752658722,0.2429073968831692,-0.11432101159678745,normal,0.10824654752658722
Q8CG76,0.24957840898209413,1.071982283025559,0.6027929881623676,-0.1002810621367442,normal,0.1071982283025559
E9Q852,0.38993828132076636,1.0807303532433532,0.40900412682724135,-0.11200660950606305,normal,0.10807303532433532
