,ivl,module,name
Asahl,1320,11,MMT00040649
Mnda,1760,11,MMT00053281
,2073,11,MMT00062748
Plac8,2450,11,MMT00074100
,56,11,MMT00001995
2310061N23Rik,2763,11,MMT00082445
Ms4a6c,1381,11,MMT00042569
A630077B13Rik,2067,11,MMT00062530
Il1b,844,11,MMT00025857
Samsn1,2256,11,MMT00068575
Socs1,1521,11,MMT00046621
Irf1,2311,11,MMT00070190
AW112010,1187,11,MMT00036330
Gbp3,1889,11,MMT00056865
Psmb9,1746,11,MMT00052967
AI481100,2059,11,MMT00062090
Ifit3,755,11,MMT00023329
5830443L24Rik,1212,11,MMT00037128
A430056A10Rik,1511,11,MMT00046343
Pdcd1lg1,2084,11,MMT00063179
Irg1,1045,11,MMT00031712
Tnf,841,11,MMT00025776
Slc2a6,1532,11,MMT00046900
Pira6,533,11,MMT00015654
Pira3,1879,11,MMT00056585
,766,11,MMT00023822
Slc5a11,1705,11,MMT00051748
D11Ertd759e,1383,11,MMT00042621
Irf7,2206,11,MMT00067186
Lgals3bp,1076,11,MMT00032831
BC027663,2412,11,MMT00072928
C1qb,877,11,MMT00026817
1700095N21Rik,1063,11,MMT00032381
Pltp,2678,11,MMT00079385
Lpxn,1397,11,MMT00042979
Sh3bgrl3,1609,11,MMT00048949
Cxcr3,1554,11,MMT00047364
Tnfrsf18,996,11,MMT00030454
Il2rb,2563,11,MMT00076857
Cd44,1236,11,MMT00038000
Me2,918,11,MMT00028364
Galnt3,1152,11,MMT00035299
Arpc1b,653,11,MMT00019640
Csf2ra,1825,11,MMT00054922
Hk2,1751,11,MMT00053117
Asc,2054,11,MMT00061953
Arhgdib,1837,11,MMT00055118
Gcnt1,2503,11,MMT00075408
C1qa,991,11,MMT00030404
Ncf4,1411,11,MMT00043527
1700001G17Rik,857,11,MMT00026225
4921508O11Rik,1814,11,MMT00054668
Tgm5,172,11,MMT00005722
4930483I10,1516,11,MMT00046496
,460,11,MMT00013499
,1291,11,MMT00039685
